pmid,sentence
31064345,"Five hundred twenty-five patients were included, 60% (range: 43.1-78.8%) suffered from severe IBS-C."
31064345,"During follow-up 11.1-24.0% of patients had a hospitalisation/emergency room (ER) visit, median stay range: 1.5-12.0 days and 41.1-90.4% took prescription drugs for IBS-C."
31064345,21.4-50.8% of employed patients took sick leave (mean: 11.6-64.1 days).
31064345,The mean annual direct cost to the healthcare systems was €937.1- €2108.0.
31064345,The total direct cost (combined costs to healthcare systems and patient) for IBS-C was €1421.7-€2487.1.
31046705,"Of the 3451 AP patients, 2478 (71.8%) had serum D-dimer levels measured within 24 h of hospital admission; 1273 of these patients had D-dimer levels ≤2.5 mg/L, and 1205 had D-dimer levels > 2.5 mg/L (934 patients had mild AP (MAP); 1086, moderately severe AP (MSAP); and 458, severe AP (SAP))."
31046705,"Patients with D-dimer levels > 2.5 mg/L (n = 1205) had higher incidences of SAP (75.5% vs. 24.5%), acute peripancreatic fluid collection (APFC) (53.3% vs. 46.7%), acute necrotic collection (ANC) (72.4% vs. 27.6%), pancreatic necrosis (PN) (65.2% vs. 34.8%), infected pancreatic necrosis (IPN) (77.7% vs. 22.8%), organ failure (OF) (68.5% vs. 31.5%), persistent organ failure (POF) (75.5% vs. 24.5%), ICU requirement (70.2% vs. 29.8%), and mortality (79.2% vs. 20.8%) than did patients with D-dimer levels ≤2.5 mg/L (n = 1273)."
31046705,The multivariate analysis showed that patients with higher serum D-dimer levels had poorer prognoses that worsened over time.
31039775,Twenty-five eyes of 25 trabeculotomy patients and 20 eyes of 20 trabeculectomy patients with a mean postoperative follow-up period of 8.0 years were selected.
31039775,"The Kaplan-Meier analysis estimated that the success probability defined as intraocular pressure < 16 mmHg was 44.0 ± 9.9% and 75.0 ± 9.7% at 6 years for trabeculotomy and trabeculectomy, respectively."
31039775,The final mean deviation significantly progressed in trabeculotomy cases in Central 30-2 programs of the Humphrey Field Analyzer (P = 0.025).
31039775,Patient characteristics and postoperative clinical data were analyzed by Mann-Whitney's U test and Wilcoxon signed-rank test.
31032569,A sample of 111 patients (n=55 in the telemedicine group; n=56 in the face-to-face group) with 593 visits was analyzed.
31032569,"No significant difference in healing of LEU (78.2% in telemedicine vs. 75.0% in face-to-face) was detected, P = 0.823."
31032569,"A reduced number of visits in telemedicine (4.36 ± 2.36) compared to the face-to-face care (6.32 ± 4.17) was shown, P = 0.003."
31032569,Non-inferiority of telemedicine demonstrated within the Δ = 15% range limits and 80% statistical power was demonstrated.
31032564,HS were older than NHS and 51% of them were older than 85 years.
31032564,The prevalence rate of ischemic heart disease (IHD) was significantly higher among HS.
31032564,"HS underwent significantly more cardiac interventions (20% vs. 15.7%, P < 0.05)."
31032564,HS status was an independent risk factor for increased IHD and for more coronary interventions.
30989999,"The mean age was 49±11 years, and mean BMI was 24.4±4.6 kg/m2."
30989999,"We reported effective relief on both static and dynamic pain all along the perioperative period, with good effect on patient's rehabilitation."
30989999,"Postoperative nausea and vomiting is the most common adverse effect, but the incidence was strongly decreased with medical prophylaxis."
30989999,"SSTS was easy to prepare, use and manage by both patients and care providers."
30985679,The in-hospital mortality rate was 16.8% (26/155).
30985679,"Of 25 pre-procedure variables analyzed, Child-Pugh classification C, creatinine level ≥6.93 μmol/L, and quality-of-life score (≤30) were found to be significant in univariate and multivariate analyses."
30985679,"Increased mortality was observed in patients with 2 or more risk factors, which was significantly different from patients with no risk factors or one risk factor (P < .01)."
30985679,None of the intra-procedure factors were important in identifying patients at risk of death.
30985679,Multivariate analysis indicated post-PTBD cholangitis and unsuccessful drainage as post-procedure risk factors that correlated with in-hospital death.
30975960,"IOP was higher in the obese group compared to the control group (P = 0.008), whereas the average RNFL was lower in the obese group (P = 0.035)."
30975960,There was a negative correlation between the average RNFL and BMI-SDS (P = -0.044) and waist-hip ratio (P = 0.015).
30975960,"There was no statistically significant difference between the RGC, C/D, CMT, and CT of the obese and control groups."
30975960,"IOP was negatively correlated with HOMA-IR, body fat mass, body fat percentage, and diastolic blood pressure."
30971261,"From baseline to week 8, mean increases (95% CI) were estimated to be 0.086 (0.019-0.153), 0.154 (0.112-0.196) and 0.132 (0.063-0.201) for EQ-5D-5 L, AQL-5D (preference-based measure derived from AQLQ), and TTO respectively over 8 weeks (p < 0.01)."
30952765,A total of 704 patients were included in the study.
30952765,"Disease-free survival was not different between the two groups [hazard ratio (HR)=0.98, 95% confidence intervaI (CI)=0.77-1.25, p=0.88]."
30952765,"Both recurrence-free survival (HR=1.02, 95% CI=0.74-1.39, p=0.92) and all-cause mortality (HR=0.92, 95% CI=0.68-1.23, p=0.56) were similar for the two groups."
30952763,"Among patients with auto-PBSCT, grade two or more leukopenia occurred in five."
30952763,The incidence of grade two or more leukopenia was significantly higher in patients with auto-PBSCT than in those without (p=0.014).
30952762,"Fewer grade 3-4 complications were observed in the AC group compared to the non-AC group (38.6 vs. 61.2%, p=0.03)."
30952762,"In the non-AC group, complications were the most frequent reason for omitting AC (n=21, including 13 with biliary fistula)."
30952762,"In the AC group, the therapy completion rate was 56.1% and the main reason for discontinuation was adverse events (n=12, including six with cholangitis)."
30952762,"AC was not associated with survival benefits (median survival: 50.4 vs. 37.3 months, p=0.916)."
30952759,"Positive Notch3 protein expression was an unfavorable prognostic factor for disease-free survival (DFS) and overall survival (OS) (HR=2.43, p=0.024 and HR=2.56, p=0.028, respectively)."
30952759,"Activation of the Shh pathway showed univariately longer DFS (HR=0.49, p=0.032)."
30952759,Possible crosstalk between the two pathways was indicated.
30952759,No further associations between pathway activation and outcome were evident.
30952560,One hundred and thirty-six patients were consecutively included in the study.
30952560,The median follow-up was 13months.
30952560,"Median total dose prescribed, fractionation and overall treatment time were respectively 45Gy, three fractions and 5 days."
30952560,"Overall survival, progression-free survival and local control rates at 1year and 2years were 79.8 % and 63.5 %, 61.3 % and 39.4 %; 94.5 % and 91 %."
30952560,Two grade 3 acute toxicity events and two grade 4 late toxicity events corresponding to a duodenal ulcer have been reported.
30952560,Seven patients underwent classic radiation-induced hepatitis and 13 patients showed non-classical radiation-induced hepatitis.
30952560,"Barcelona Clinic Liver Cancer stage, World Health Organisation grade and planning target volume were correlated with overall survival in univariate Cox analysis."
30943922,"Seven eyes from six patients (five male, one female) were included."
30943922,"The median age was 29 (range, 20-38) years."
30943922,"Preoperatively, six eyes were pseudophakic, two eyes had a history of previous vitreoretinal surgery, and one had uveitis."
30943922,"Postoperatively, best-corrected visual acuity improved in two eyes, worsened in one, and remained similar in four."
30943922,Retinal attachment was maintained in all eyes at 12 months.
30943922,"The major complication was an increase in postoperative intraocular pressure in six eyes, requiring either medical or surgical treatment."
30943922,"During the extended follow-up period (15-37 months), retinas remained attached in all eyes and stable visual acuity was maintained in five."
