sentence,label
Levels of cholesterol fractions in patients with JIA were found within the normal range.,0
Faster aspart and IAsp were confirmed noninferior in a basal-bolus regimen regarding change from baseline in HbA1c.,0
Major operative morbidity after minimally invasive hysterectomy is rare regardless of the surgical approach.,0
"The promise of combining risk assessment, communication and management within one consultation was not realised.",0
"PPARÎ´ peroxisome proliferator-activated receptor Î´, STAT3 signal transducer and activator of transcription 3, CTGF connective tissue growth factor, MMP9 matrix metallopeptidase 9.""",0
Graphical abstract Summary of the mechanism of telmisartans effect on the suppression of hyperglycemia-induced cardiac fibrosis through PPARÎ´ instead of the AMPK pathway.,0
"With shifts in policy focus, the utility of POC devices for patient engagement in CVD preventive care may be demonstrated if fully integrated into the clinical setting.",0
"""Further research on the influence of fruit, milk/dairy products, wine and olive oil consumption on nutritional status is required.""",0
TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry ACTRN12613000607774.,0
"Future studies should explore whether tailoring of iCBT programs improves acceptability and adherence, and evaluate the long-term outcomes following iCBT.",0
"""Dietary patterns of the elderly population of Villanueva are departing from the traditional Mediterranean diet and though adequate consumption of fruits, milk/dairy products, oils/fats and sugar/confectionery has been achieved, cereals/grain products, vegetables and the meat, fish, eggs group consumption was below the desirable levels.""",0
The STAMP may be an alternative method for assessing nutritional status in Chinese children with SCI.,0
The decreasing trends in nutritional status and appetite  level after SCI require special attention.,0
Nutritional screening in all pediatric SCI patients should be performed periodically.,0
Nutrition education should be part of programs in food insecure settings aiming at ameliorating food insecurity among communities.,0
"Further work is needed, it seems clear that a complex interplay of inflammation and the development of DM.",0
A-HIT1 and A-HIT2 are the first nationwide FH registries in Turkey and will provide important information on the management of Turkish FH patients.,0
"In addition, it is planned that they will guide establishment of a national policy for the diagnosis and treatment of FH in Turkey.",0
Earlier diagnosis and treatment of patients with FH are needed to reduce CHD risk in these patients.,0
Interventions to  reduce indoor air pollution and to promote timely administration of measles vaccination are urgently needed to reduce the burden of severe pneumonia in children in Tanzania.,0
Performance incentives and external influences were more powerful modifiers of practice behaviours than the POC device in relation to CVD risk assessment completion.,0
"iCBT for depression is an efficacious, accessible treatment option for people with diabetes.",0
"LEVEL OF EVIDENCE: III, prospective case-control study.",0
Suboptimal VtD status and bone loss were common in adult SBS even after weaning off PN.,0
Cite this article: Bone Joint J 2016;98-B:1180-4.,0
Larger prospective studies are required before it can be concluded that this extra surgery should be advised in these patients.,0
"Progress in reducing breast cancer deaths through early detection needs to focus  on attitudinal change among African migrants.""",0
